,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
10,40204.368612000006,226.25161212222898,-27.72118299591065,287.56161111634293,250.98378715360147,2782.882488232276,128.0,226.31466186806932,255.0
11,69.87332400000001,9.432151357929564,22.002708178966543,12.167658819523107,7.588822321550992,36.52972111281502,180.0,221.5457227138643,244.0
12,143.86896800000002,13.534388028937167,41.82359811732868,20.285725295627305,9.777755214283426,66.12315096038442,188.0,220.72349570200572,251.0
13,9.893568000000002,3.5492086464628105,-1.0357949839058336,4.138512863051285,3.0862040067448464,11.116317743904311,205.0,228.0,246.0
14,56.88801600000001,8.510703354760208,18.69244470864312,8.877808404288487,8.778123156325888,33.961509283545475,173.0,224.92028985507247,251.0
15,25.558384000000004,5.70455477739731,28.757143864345462,7.451079549097005,4.860800734862286,20.276979710371624,189.0,223.79032258064515,255.0
16,30.505168000000005,6.23220556596055,43.7224431064274,6.622602724164375,5.940042630755094,20.448900274395548,192.0,222.19594594594594,248.0
17,43.28436000000001,7.423702500811363,56.78988601731374,11.603614799737354,5.907624079022305,40.08382702744979,190.0,225.16666666666666,252.0
18,36.0703,6.776882199836496,48.42140402006829,8.512110457551831,5.884846401136344,25.491297454275937,168.0,216.43428571428572,249.0
19,26.588964000000004,5.8184293772752484,-44.0463001681453,8.06345331304322,6.726084213222565,27.40132393293463,183.0,218.26356589147287,248.0
20,91.72162000000002,10.80664581131313,64.39731061746674,17.408478719753948,8.006321563552508,55.616621387210564,189.0,223.2674157303371,248.0
21,16.48928,4.582008659988611,-50.36403851227533,5.205608896559619,4.431178993908882,17.082847317078162,198.0,224.75,248.0
22,14.634236000000001,4.316582905746968,16.04419344040994,4.91787868742992,3.872157068855961,13.84031774390431,196.0,229.43661971830986,251.0
23,35.864184,6.75749193920778,75.00979058905583,8.934277167350533,5.583753058950841,26.74313858232378,195.0,222.16091954022988,247.0
24,82.240284,10.232867719219794,27.43478652635631,14.012285247666961,8.768085292789022,51.125018567090954,164.0,220.69924812030075,244.0
25,39.57427200000001,7.098417292925621,87.93771282115658,8.9842274100551,5.730273961234625,26.03932393293463,184.0,217.828125,241.0
26,52.765696000000005,8.196546269781804,32.68305623867244,11.434548425517145,6.6414551519205585,37.82995942074325,193.0,217.9296875,245.0
27,32.97856,6.479938789866865,-43.36706648409062,7.237625965714168,6.185062097943727,24.035270975617244,200.0,225.15625,245.0
28,31.329632000000004,6.315863075178259,58.00270173504852,7.645104943124813,5.792191110463476,26.227376890252014,172.0,217.95394736842104,242.0
29,90.27880800000001,10.721312811272377,7.726801056230701,18.665893919608898,8.741991334930468,59.73488617379749,199.0,222.79908675799086,241.0
30,49.673956000000004,7.952788512379447,-85.06238206363767,13.306619902766512,8.006933609999496,46.079853506108485,186.0,219.30705394190872,240.0
31,67.399932,9.26370653328682,-55.00728627534474,15.098884019749109,7.3860097267187825,53.75499208843227,179.0,215.77064220183487,240.0
32,34.215256000000004,6.600319459877457,9.954502404487648,9.18764557548958,5.195199632146689,26.9150591463477,196.0,217.3975903614458,246.0
33,52.14734800000001,8.14837809792023,-85.22700836377604,14.764587940976382,5.317003221664572,40.382038856719326,179.0,215.0395256916996,242.0
34,32.772444,6.459657241558458,-20.422110995694965,8.882490360512518,5.450331364217941,30.517562240862862,197.0,219.1572327044025,236.0
35,24.115572000000004,5.541200223264635,-25.18260881172314,8.515038667061342,4.328009623148997,24.239456326228094,198.0,224.92307692307693,247.0
36,298.24985200000003,19.48700864108726,54.528460980712474,23.43803837483147,18.702120237367463,103.85908390246898,185.0,222.7581202487906,247.0
37,29.886820000000004,6.168717945439048,83.35552311709212,6.859708617064902,6.223827086793305,25.257615198180247,177.0,219.6206896551724,236.0
38,62.65926400000001,8.931979219008538,-73.72292235988533,13.541020061154837,8.093176770894944,46.9744889939171,182.0,216.40131578947367,242.0
39,39.780388,7.11687874749234,-36.32632777947867,9.079129968158528,6.406773318025985,28.451747591473715,192.0,216.59585492227978,234.0
40,10.924148,3.7294848472864905,75.88233121886637,4.837911795845317,3.2527663527881585,14.420609009149931,204.0,224.33962264150944,246.0
41,30.505168000000005,6.23220556596055,-84.83618524788645,7.427244888352691,6.026351190891765,28.027244496958552,195.0,217.18243243243242,232.0
42,28.237892000000002,5.996132149507772,68.51158598212477,8.444171703959704,4.394969260534712,21.888794359760777,186.0,223.96350364963504,248.0
43,84.09532800000001,10.347632441146823,-38.46220793414846,12.150016192703061,9.568776861113644,43.92001237806064,179.0,216.93627450980392,241.0
44,79.14854400000002,10.038678007039124,38.99386507116463,13.87126536804652,8.555319371225153,48.16456842989318,194.0,214.30989583333334,238.0
45,108.41701600000002,11.749077925240979,-75.20791940386961,14.659849308726512,10.66438034724182,56.806700823186645,187.0,222.51140684410646,244.0
46,10.718032000000001,3.694133482176423,-86.81108556233356,4.63341761228547,3.0645585373719624,12.510582530491236,202.0,221.84615384615384,235.0
47,18.138208000000002,4.805651224988314,-87.10287467565924,5.693582457651876,4.191515710926494,16.44079435976078,203.0,220.5568181818182,236.0
48,72.96506400000001,9.638568610998835,31.766172493094743,12.937457615725304,8.387965180726718,45.846171250012794,194.0,219.85875706214688,247.0
49,42.253780000000006,7.334792676725071,-82.65278566587945,11.080570388828917,5.315469031809941,32.45985350610848,189.0,217.9219512195122,240.0
50,42.253780000000006,7.334792676725071,65.85265989693268,11.507840615105694,5.280925499163046,31.48732393293463,194.0,219.54634146341462,235.0
51,24.73392,5.611791606992898,71.7918760660282,13.213082237136993,3.300173729297267,29.54503266768901,200.0,219.625,237.0
52,71.31613600000001,9.529035865863396,65.72070574301165,13.71819827721452,7.591922130882438,44.01403885671933,190.0,217.09826589595374,239.0
53,33.390792000000005,6.520312630881016,1.7662626659019014,7.819814470197627,6.1919481962447405,28.481244496958553,193.0,215.28395061728395,238.0
54,49.26172400000001,7.919720641451265,-52.9265755280527,9.829603002224507,7.29336471575783,33.789588719521554,194.0,218.2845188284519,241.0
55,55.03297200000001,8.370791851115577,48.487852968055755,16.320129702450576,5.8037851502025015,40.55395942074325,196.0,218.7865168539326,239.0
56,11.130264,3.764504252639672,63.52519333499715,4.4740316247002605,3.815560932508711,14.592529573173852,203.0,223.85185185185185,236.0
57,17.932092,4.778268374027254,-1.0413160250131632,6.4588360120262625,3.773162578324761,17.64700618903032,192.0,215.31034482758622,243.0
58,68.84274400000001,9.362334325844134,-15.537234256139905,10.749953846016231,9.276536484624701,41.65001237806064,189.0,218.9131736526946,237.0
59,213.74229200000002,16.49682207447029,58.84419782613307,25.777243772133158,12.024685873937315,87.62247489331905,157.0,220.53905496624878,247.0
60,20.405484,5.097162853810014,-49.58407425276718,6.513160556094123,4.710619198841289,19.63492675305424,188.0,211.32323232323233,236.0
61,26.176732,5.773149082981867,-88.72266180491962,6.708368005061246,5.160041546333004,20.18295323171293,192.0,215.51968503937007,233.0
62,42.45989600000001,7.352660651256956,-88.68566683220287,11.529551341008833,5.691451836731348,34.619694634156325,180.0,217.63106796116506,247.0
63,25.970616000000003,5.750375230568152,41.49733646677858,6.549165156706047,5.281077682028697,20.182953231712933,199.0,218.24603174603175,231.0
64,111.508756,11.915425201117431,38.80331054822161,17.64824763807768,10.15082392631611,60.58112448172572,189.0,219.16820702402958,251.0
65,43.902708000000004,7.476540907837045,-7.581770791805249,9.802424990756952,6.797001125370754,36.60761519818025,192.0,216.46478873239437,243.0
66,35.65806800000001,6.738045878921832,82.72390569359065,17.758290092852985,4.49419678464506,40.47606533537802,183.0,219.39306358381504,244.0
67,74.820108,9.76032377777273,-86.27185413107163,15.383101776561055,7.104780194688289,48.11617125001279,192.0,217.0275482093664,238.0
68,19.787136000000004,5.019339003519562,66.40665550395407,7.914622932448795,4.154020907297746,23.095006189030318,203.0,220.95833333333334,232.0
69,77.499616,9.93355806310055,-26.798566254209177,14.558751343945453,8.724448141358845,51.138383079282335,188.0,219.61170212765958,243.0
70,196.01631600000002,15.797965848314263,49.35367572489592,20.806219832894172,14.679144375005544,91.41026306404952,191.0,219.98948475289168,250.0
71,23.909456000000002,5.517469064009821,-15.653577466781801,7.482792599770298,4.534468550432709,22.15750928354548,193.0,218.48275862068965,236.0
72,24.527804000000003,5.588360224458809,-15.615977554563194,7.591835256059619,4.727039797347989,22.18700618903032,196.0,218.69747899159663,239.0
73,23.291108,5.445655125537929,49.143383404265705,6.664630357670492,5.347694679820852,22.248767881102083,204.0,220.46902654867256,239.0
74,8.24464,3.2399693949334325,-70.30634881514352,4.454325115545308,2.619411301232068,11.398397179880389,206.0,224.35,234.0
75,125.52464400000001,12.642109815201076,8.363781091983379,15.216610964732693,11.497843467143818,60.65901856709095,187.0,223.10837438423644,248.0
76,29.062356000000005,6.0830371462264825,36.167515783487055,7.357652406199596,7.065902627159798,30.109191539641166,194.0,220.04255319148936,239.0
77,39.368156000000006,7.079907698727637,40.18633460837708,13.444420095534463,5.109055370606033,39.92803885671933,192.0,216.5130890052356,242.0
78,43.078244000000005,7.406005926175746,-52.71947928195449,8.383944252675883,6.962813001476041,29.15556224086286,175.0,218.2153110047847,239.0
79,46.994448000000006,7.735320909736085,-81.61837557310187,12.543623553865002,5.410833287858156,33.25769463415632,188.0,215.1359649122807,240.0
80,18.344324,4.832878928571905,42.35140503502566,5.743104101749644,4.692090922575483,18.80482083841947,196.0,217.53932584269663,231.0
81,33.390792000000005,6.520312630881016,-89.30006299874042,8.879018606016974,6.686157742523904,31.76940336891071,187.0,215.90123456790124,245.0
82,33.596908000000006,6.540406091859217,-88.03339867107329,10.292761476890094,5.822658188707892,32.693535762204164,186.0,217.09202453987731,236.0
83,54.20850800000001,8.307852673627067,46.334394426372725,12.449448889113242,6.1779534901059545,38.11203885671933,195.0,221.63498098859316,244.0
84,13.809772,4.193226420571205,89.58365948231244,6.431942544226338,3.353058804255462,16.23660900914993,202.0,226.56716417910448,244.0
85,39.368156000000006,7.079907698727637,6.151079940480515,9.372501663600524,5.748933673720243,29.029270975617244,178.0,211.74869109947645,233.0
86,15.664816000000002,4.465989609504269,49.42945800490163,6.728130899212588,3.194684104179706,16.142582530491236,211.0,229.93421052631578,247.0
87,19.993252000000002,5.045413667307705,30.99230187998906,7.145846311881978,3.8628149708985102,18.44484731707816,196.0,220.0721649484536,248.0
88,32.154096,6.398426881070902,89.91485249501947,11.443197786353695,4.854771757713957,32.39532393293463,201.0,223.2051282051282,248.0
89,91.515504,10.794496683457222,-22.890565187875115,17.597879611712386,7.843733963246162,53.34662138721057,179.0,218.38963963963963,240.0
90,98.31733200000001,11.188454541859473,81.41539416470081,15.642608287178534,10.470835732001262,57.714700823186654,186.0,218.42976939203353,250.0
91,27.619544,5.930117674072986,8.037188863415048,7.419704596179286,5.061803076725506,21.73300618903032,194.0,218.4179104477612,244.0
92,13.809772,4.193226420571205,3.623266305423193,7.196507364444085,2.7134937598644018,16.67447661585647,204.0,224.13432835820896,243.0
93,27.001196000000004,5.863360001086825,15.152098922158599,10.500798379487678,5.067771432730928,32.41145632622809,193.0,222.1908396946565,247.0
